subniche,palavras_chave,qtd_palavras_chave
acessorios-geral,acessorio carro; acessorio moto; acessório carro; acessório moto; auto e moto; auto-e-moto; automotivo; carro; moto; produto automotivo; veicular,11
audio-e-som,alto falante carro; amplificador automotivo; auto falante carro; caixa som carro; corneta; driver som; falante carro; kit alto falante; modulo som; módulo som; radio carro; rádio carro; som automotivo; som carro; subwoofer; tweeter; woofer,17
capacetes-e-protecao-motociclista,balaclava moto; bota moto; calca moto; calça moto; capa chuva motociclista; capacete moto; cotoveleira moto; equipamento motociclista; jaqueta moto; joelheira moto; luva moto; protetor coluna moto; protetor motociclista; viseira capacete,14
capas-e-protecao,capa banco carro; capa banco moto; capa cambio; capa carro; capa chave carro; capa chuva moto; capa câmbio; capa freio mao; capa freio mão; capa moto; capa painel; capa retrovisor; capa volante; protetor banco; protetor moto; protetor para choque; protetor parachoque,17
direcao-e-controles,bola cambio; bola câmbio; borboleta volante; buzina carro; cambio carro; capa volante esportivo; câmbio carro; manete moto; manopla cambio; manopla câmbio; manopla moto; pomo cambio; pomo câmbio; punho moto; retrovisor carro; retrovisor moto; shift knob; volante carro; volante esportivo,19
eletrica-e-sensores,alarme sensor; bateria carro; bateria moto; botao carro; botão carro; chicote carro; chicote moto; conector automotivo; fusivel carro; fusivel moto; fusível carro; fusível moto; interruptor carro; porta fusivel; porta fusível; rele automotivo; relé automotivo; sensor carro; sensor moto; terminal bateria; tomada 12v,21
emergencia-e-seguranca,cabo chupeta; cinta reboque; colete refletivo; extintor carro; guincho carro; jumper bateria; kit emergencia carro; kit emergência carro; martelo emergencia; martelo emergência; partida auxiliar; pisca alerta emergencia; primeiros socorros carro; sinalizador carro; triangulo carro; triângulo carro,16
energia-e-conectividade,acendedor cigarro; adaptador 12v; adaptador 24v; adaptador carro; adaptador usb carro; adaptador veicular; bluetooth carro; cabo carro; cabo tipo c; cabo usb; cabo usb carro; car charger; carregador carro; carregador moto; carregador veicular; entrada usb carro; powerbank carro; splitter veicular; tomada carro; transmissor fm; usb carro,21
exterior-e-personalizacao,acabamento carro; adesivo carro; adesivo moto; aerofolio; aerofólio; antena shark; antenna shark; calha chuva; emblema carro; emblema moto; envelopamento; friso carro; grade carro; moldura carro; pelicula carro; película carro; soleira carro; spoiler; tuning carro,19
ferramentas-e-manutencao,alicate automotivo; cavalete moto; chave roda; chave vela; ferramenta carro; ferramenta moto; kit ferramenta; macaco hidraulico; macaco hidráulico; manutencao moto; manutenção moto; multimetro automotivo; multímetro automotivo; obd2; reparo carro; saca filtro; scanner automotivo; torquimetro; torquímetro,19
iluminacao,barra led; farol auxiliar; farol led carro; farol led moto; lampada led carro; lampada led moto; lanterna carro; lanterna moto; led carro; led moto; luz interna carro; luz placa; lâmpada led carro; lâmpada led moto; milha carro; pisca moto; strobo carro; xenon carro,18
limpeza-e-estetica,aspirador carro; cera automotiva; cera carro; detailing carro; escova limpeza carro; estetica automotiva; higienizador ar; lava autos; lavagem carro; limpa painel; limpa pneu; limpa vidro; limpador automotivo; pano microfibra; polimento carro; pretinho pneu; reparador plastico; reparador plástico; revitalizador plastico; revitalizador plástico; shampoo automotivo; silicone automotivo,22
mecanica-e-pecas,bomba combustivel; bomba combustível; carburador moto; correia carro; corrente moto; disco freio; embreagem moto; filtro ar; filtro oleo; filtro óleo; junta motor; kit relacao moto; kit relação moto; pastilha freio; peca carro; peca moto; peça carro; peça moto; vela ignicao; vela ignição,20
moto-acessorios,adesivo moto; bagageiro moto; bau moto; baú moto; bolha moto; carenagem moto; descanso moto; guidao moto; guidão moto; paralama moto; protetor carenagem; protetor motor moto; rabeta moto; slider moto; suporte placa moto; tanque moto,16
multimidia-e-gps,android auto; camera re multimidia; carplay; central multimidia; central multimídia; câmera ré multimídia; dvd carro; gps carro; mp3 carro; mp5 carro; multimidia carro; multimídia carro; radio multimidia; rádio multimídia; tela automotiva,15
oleos-e-fluidos,aditivo radiador; agua desmineralizada; desengripante; fluido freio; fluido radiador; graxa moto; limpa ar condicionado; limpa bico; lubrificante corrente; oleo carro; oleo moto; oleo motor; água desmineralizada; óleo carro; óleo moto; óleo motor,16
organizacao-e-conforto,almofada carro; aromatizador carro; bolsa porta malas; console carro; cortina carro; encosto cabeca; encosto cabeça; gancho carro; lixeira carro; organizador carro; organizador porta malas; porta copos carro; porta malas carro; porta objetos carro; porta treco carro; protetor sol carro; quebra sol carro,17
pneus-rodas-e-calibragem,bico pneu; bomba pneu; calibrador pneu; camara pneu; compressor ar carro; câmara pneu; kit reparo pneu; macaco carro; medidor pressao pneu; medidor pressão pneu; parafuso roda; pneu carro; pneu moto; porca roda; reparo pneu; roda carro; roda moto; tampa valvula; tampa válvula; valvula pneu; válvula pneu,21
seguranca-e-monitoramento,alarme carro; alarme moto; anti furto moto; antifurto moto; bloqueador veicular; camera carro; camera de re; camera re; camera veicular; câmera carro; câmera de ré; câmera ré; câmera veicular; dashcam; dvr veicular; rastreador moto; rastreador veicular; sensor estacionamento; sensor re; sensor ré; trava moto; trava volante,22
suportes-e-fixadores,base celular carro; fixador celular; holder carro; porta celular carro; porta celular moto; suporte carro; suporte celular carro; suporte celular moto; suporte guidao; suporte guidão; suporte moto; suporte painel; suporte parabrisa; suporte retrovisor; suporte veicular,15
tapetes-e-interior,descanso pe moto; descanso pé moto; forro carro; interior carro; jogo tapete carro; pedal carro; pedaleira moto; protetor assoalho; soleira interna; tapete automotivo; tapete carro; tapete moto; tapete porta malas; tapete pvc carro,14
